sample_id,rt_start,rt_end,area,data_points,run_start_time,name,class,parent_mz,product_mz
28,27.4,28.4,399.0,41,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
29,28.4,29.4,754.0,74,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
30,29.4,30.4,944.0,71,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
31,30.4,31.4,507.0,52,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
32,31.4,32.4,3731.0,129,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
33,32.4,33.4,1134.0,84,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
34,33.4,34.4,1288.0,90,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
35,34.4,35.4,1322.0,85,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
36,35.4,36.4,208.0,22,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
37,36.4,37.4,285.0,33,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
38,37.4,38.4,2535.0,134,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
39,38.4,39.4,1020.0,82,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
40,39.4,40.4,4847.0,159,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
41,40.4,41.4,1050.0,80,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
42,41.4,42.4,4716.0,146,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
43,42.4,43.4,1585.0,99,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
44,43.4,44.4,1654.0,108,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
45,44.4,45.4,452.0,44,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
46,45.4,46.4,805.0,66,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
47,46.4,47.4,638.0,57,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
48,47.4,48.4,1073.0,80,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
49,48.4,49.4,453.0,46,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
50,49.4,50.4,9492.0,176,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
51,50.4,51.4,753.0,60,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
52,51.4,52.4,4409.0,139,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
53,52.4,53.4,1586.0,92,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
54,53.4,54.4,3923.0,127,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
55,54.4,55.4,486.0,47,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
56,55.4,56.4,862.0,69,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
57,56.4,57.4,481.0,41,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
58,57.4,58.4,724.0,63,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
59,58.4,59.4,638.0,64,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
60,59.4,60.4,3546.0,130,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
61,60.4,61.4,700.0,68,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
